date,time,start,end
0,06/12/22 12:00,10,2022-12-06 12:00,2022-12-06 12:10
1,06/12/22 15:00,20,2022-12-06 15:00,2022-12-06 15:20
,30/12/22 18:00,1.25,2022-12-30 18:55,2022-12-30 18:57
,30/12/22 19:00,10.0,2022-12-30 19:00,2022-12-30 19:10
,30/12/22 19:00,10.0,2022-12-30 19:03,2022-12-30 19:13
,30/12/22 20:00,20.0,2022-12-30 20:19,2022-12-30 20:39
,30/12/22 23:00,20.0,2022-12-30 23:09,2022-12-30 23:29
,30/12/22 23:00,20.0,2022-12-30 23:38,2022-12-30 23:58
,31/12/22 01:00,0.08333333333333333,2022-12-31 01:03,2022-12-31 01:03
,31/12/22 01:00,0.08333333333333333,2022-12-31 01:08,2022-12-31 01:08
,31/12/22 01:00,0.08333333333333333,2022-12-31 01:28,2022-12-31 01:29
,31/12/22 01:00,0.08333333333333333,2022-12-31 01:29,2022-12-31 01:29
